x_value,theta,r
15,202.8125,238.75
15,204.15625,237.75
15,206.84375,219.25
15,208.21875,216.75
15,208.234375,218.25
15,210.21875,214.0
15,211.515625,212.25
15,213.609375,210.0
15,214.96875,207.75
15,216.328125,205.75
15,217.125,204.25
15,219.0625,202.5
15,220.40625,201.25
15,220.984375,200.5
15,223.140625,199.5
15,224.484375,199.0
15,225.84375,199.0
15,227.46875,199.0
15,228.578125,199.0
15,229.9375,199.25
15,231.28125,200.0
15,232.640625,201.0
15,234.109375,202.25
15,234.6875,203.75
15,236.515625,205.75
15,237.875,207.75
15,239.5625,210.5
15,240.9375,214.5
15,243.078125,238.25
15,249.359375,295.0
15,250.484375,304.75
15,251.71875,315.75
15,252.890625,328.5
15,259.84375,433.25
15,261.171875,422.75
15,262.59375,417.0
15,263.75,417.75
15,265.25,425.0
15,269.46875,1548.5
15,270.8125,1549.0
15,272.25,1546.75
15,273.609375,1547.0
15,274.953125,1545.25
15,276.203125,1547.5
15,277.59375,1549.0
15,278.90625,1550.5
15,280.296875,1551.25
15,281.59375,1563.25
15,282.96875,1570.25
15,284.3125,1574.25
15,285.6875,1576.25
15,287.0,1594.5
15,292.71875,579.25
14,295.171875,623.5
15,296.515625,669.5
15,297.90625,660.25
15,301.8125,696.75
15,305.09375,1152.0
15,306.484375,1110.0
15,307.859375,1070.5
15,309.234375,1034.0
15,312.46875,749.25
12,313.828125,740.75
15,315.3125,734.0
7,316.703125,733.5
15,320.25,360.5
15,321.90625,819.25
15,323.296875,803.5
15,324.671875,787.75
15,327.453125,759.25
15,328.8125,747.75
7,330.46875,653.75
15,331.828125,655.5
8,333.4375,584.75
8,335.140625,542.75
15,336.390625,555.5
15,337.703125,566.5
15,339.125,545.5
15,340.5,537.0
15,341.9375,536.5
9,348.328125,217.0
15,345.828125,572.0
15,346.984375,612.5
15,348.40625,650.25
12,349.6875,627.75
15,353.140625,329.5
15,359.265625,625.5
15,0.59375,624.25
15,1.953125,629.75
15,3.5,597.25
15,4.71875,615.0
15,6.171875,624.5
15,10.3125,627.0
15,11.59375,632.75
15,14.171875,419.5
15,15.40625,420.5
15,16.875,419.0
15,18.3125,416.75
15,19.578125,415.5
15,21.15625,415.5
15,22.171875,414.5
15,23.859375,415.0
15,25.078125,415.75
15,26.34375,415.25
15,27.828125,414.5
15,29.03125,417.25
15,30.3125,416.75
15,34.609375,247.25
15,36.65625,248.0
15,37.25,223.25
15,40.65625,156.75
15,42.0,152.5
15,43.484375,149.5
15,44.84375,146.25
15,46.21875,143.5
15,47.59375,141.0
15,48.953125,139.5
15,50.65625,138.25
15,51.6875,137.0
15,53.046875,135.5
15,54.90625,134.0
10,57.9375,132.25
13,165.5,131.75
15,166.171875,133.5
15,167.53125,135.75
15,168.890625,137.0
15,170.25,138.0
15,171.359375,138.25
15,174.40625,139.0
15,175.765625,139.25
15,175.6875,139.5
15,178.234375,140.0
15,178.40625,140.25
15,179.765625,141.25
15,181.125,142.5
15,182.484375,144.5
15,183.84375,146.75
15,185.203125,149.5
15,186.671875,152.0
15,188.046875,154.0
15,189.40625,156.5
15,190.765625,159.75
15,192.140625,163.75
15,202.140625,234.5
15,203.921875,238.5
15,203.46875,238.75
15,206.65625,220.5
15,208.015625,216.75
15,208.375,218.5
15,209.71875,216.0
15,212.03125,213.0
15,213.390625,210.5
15,214.75,208.25
15,215.984375,206.25
15,217.484375,204.5
15,218.828125,203.0
15,220.203125,201.75
15,221.4375,200.5
15,222.921875,199.75
15,224.28125,199.0
15,225.640625,199.0
15,227.0,198.75
15,228.375,198.75
15,229.734375,199.25
15,231.078125,199.75
15,231.8125,200.75
15,233.484375,201.75
15,235.265625,203.0
15,236.640625,204.5
15,238.0,206.75
15,239.359375,209.5
15,240.71875,213.0
15,246.0625,244.25
15,248.953125,292.25
15,250.0625,302.25
15,251.796875,313.25
15,252.5,325.0
15,253.59375,338.5
15,254.859375,357.25
15,259.5625,438.0
15,260.921875,424.75
15,262.453125,418.0
15,263.703125,417.5
15,265.109375,424.25
15,269.1875,1550.5
15,270.5625,1547.5
15,271.890625,1546.75
15,273.3125,1547.0
15,274.609375,1546.5
15,275.953125,1546.5
15,277.375,1546.75
15,278.703125,1552.0
15,280.046875,1557.25
15,281.4375,1561.0
15,282.734375,1568.5
15,284.109375,1570.5
15,285.421875,1581.75
15,286.828125,1587.5
15,292.65625,564.0
8,294.9375,628.5
15,296.265625,661.75
15,297.546875,662.5
15,301.578125,695.75
15,304.78125,1157.0
15,306.1875,1114.75
15,307.625,1075.75
15,309.0625,1037.25
14,313.703125,741.75
15,315.046875,734.25
8,316.46875,732.5
15,320.25,357.75
15,318.953125,781.5
15,321.71875,820.0
15,323.015625,804.25
15,324.484375,791.25
14,326.046875,761.5
15,327.3125,763.0
15,328.734375,748.75
15,331.625,656.75
11,334.984375,547.75
15,336.265625,560.25
15,337.625,552.75
15,338.953125,544.25
15,340.40625,546.0
15,341.65625,532.75
15,345.59375,566.0
15,346.96875,606.5
15,348.171875,646.25
15,349.546875,626.5
12,355.734375,272.5
12,356.359375,614.0
15,358.984375,625.25
15,0.34375,624.0
15,1.796875,635.25
15,4.53125,623.75
15,5.90625,624.5
15,9.9375,629.0
15,11.1875,631.0
15,13.34375,476.75
15,15.25,419.75
15,16.625,418.25
15,18.0,416.25
15,19.390625,415.5
15,20.578125,416.25
15,22.0,413.75
15,23.515625,414.5
15,24.84375,414.75
15,26.265625,414.25
15,27.5,414.5
15,29.15625,416.0
15,30.453125,416.5
15,34.078125,248.5
15,36.296875,247.25
15,38.625,221.25
15,40.5,158.0
15,41.859375,153.0
15,43.328125,150.0
15,44.6875,146.75
15,46.0625,143.75
15,47.4375,141.25
15,48.796875,139.75
15,50.921875,138.75
15,51.53125,137.0
15,54.25,135.75
15,55.21875,134.0
12,57.46875,132.25
13,164.875,131.5
15,166.671875,133.5
15,167.46875,135.75
15,168.84375,137.0
15,170.953125,138.0
15,171.5625,138.5
15,174.171875,139.0
15,174.28125,139.0
15,175.65625,139.5
15,177.015625,139.75
15,178.359375,140.25
15,180.765625,141.25
15,181.078125,142.5
15,182.453125,144.25
15,183.8125,146.75
15,185.171875,149.25
15,186.625,152.0
15,187.984375,154.0
15,189.359375,156.5
15,190.703125,159.5
15,201.859375,234.5
15,202.25,238.5
15,203.921875,238.5
15,206.25,220.75
15,207.953125,216.75
15,209.3125,218.75
15,210.625,216.5
15,212.25,213.75
15,213.359375,211.0
15,214.71875,208.75
15,216.078125,206.25
15,217.4375,204.5
15,218.8125,203.0
15,220.15625,201.75
15,221.53125,200.75
15,222.890625,199.75
15,224.25,199.0
15,225.609375,198.75
15,226.984375,198.75
15,228.203125,198.75
15,229.703125,199.0
15,231.0625,199.25
15,232.421875,200.25
15,233.875,201.0
15,234.40625,202.75
15,236.59375,204.0
15,238.21875,206.25
15,239.328125,208.75
15,239.953125,212.0
15,249.890625,301.75
15,251.625,312.5
15,252.609375,324.0
15,259.234375,439.0
15,260.6875,426.0
15,262.421875,419.0
15,263.640625,417.75
15,264.78125,424.0
15,269.1875,1550.0
15,270.546875,1552.0
15,271.890625,1546.25
15,273.28125,1547.25
15,274.609375,1546.25
15,276.0,1546.75
15,277.296875,1546.75
15,278.640625,1553.5
15,280.0,1558.25
15,281.359375,1566.0
15,282.75,1567.75
15,284.140625,1569.0
15,285.46875,1580.25
15,286.828125,1587.0
15,292.5625,565.25
11,296.21875,653.75
15,297.515625,662.75
15,301.59375,694.75
15,304.78125,1159.0
15,306.140625,1120.5
15,307.625,1076.5
15,309.015625,1042.75
14,313.59375,741.0
14,314.90625,735.25
15,319.75,357.5
15,318.890625,779.0
15,321.59375,821.0
15,322.890625,805.0
15,324.546875,791.0
15,325.84375,760.0
15,327.359375,763.0
15,328.6875,749.0
15,331.71875,655.25
9,334.953125,544.75
15,336.09375,560.0
15,337.5,551.5
15,338.96875,544.75
15,340.296875,547.25
15,341.765625,534.25
8,343.015625,528.25
15,345.71875,564.5
15,346.90625,604.25
15,348.203125,644.5
15,349.46875,626.25
15,355.453125,271.75
15,356.28125,614.25
15,359.015625,624.5
15,0.28125,624.75
15,1.65625,636.25
15,4.5,622.0
15,5.671875,624.5
15,9.859375,628.25
15,11.265625,630.75
15,13.546875,473.0
15,15.0625,421.0
15,16.53125,418.25
15,17.890625,417.25
15,19.3125,415.75
15,20.4375,416.5
15,22.109375,414.75
15,23.59375,414.25
15,24.953125,414.5
15,26.203125,414.0
15,27.421875,414.75
15,28.78125,416.75
